iHS	iHH	Fst	DAF	XPEHH
0.0027143101519438427	0.0012701094352932983	0.00081095298614117662	0.0029334134444395678	3.707918904029978e-05
0.0017560511858643935	0.0011429471080410493	0.00069550158512911471	0.0023068517697340443	1.3999285658072366e-05
0.00097491117560057712	0.0011565716431037902	0.00057353276631798484	0.0015951594327044006	1.5891081017271336e-05
0.00056466128648915406	0.0010278954786223475	0.00048228891713103267	0.0013185793697758151	8.3238995804754606e-06
0.00032396116704739675	0.00093252373318316066	0.00066943191393284266	0.0008989797941427077	1.0972413083354018e-05
0.00016046674629450493	0.00094766210547509507	0.00037707917266036338	0.00060802210824382628	1.3999285658072366e-05
0.00011202395496031476	0.00079325070809736396	0.00035100950146409133	0.00047143469002601594	1.8161235448310098e-05
8.0233373147252466e-05	0.00076448780074268852	0.00040687308259895999	0.0002996599313809026	1.0972413083354018e-05
4.8442791334190166e-05	0.00069787896265817711	0.00029700803970038499	0.00020998896706616278	8.7022586523152547e-06
3.1790581813062293e-05	0.00061159024059415079	0.00028583532347341127	0.00011729113475767652	4.5403088620775244e-06
1.9679883979514756e-05	0.0005419537280512525	0.00022717856328179919	6.9617963856169284e-05	1e-10
1.3624535062740985e-05	0.00068425442759543608	0.00020110889208552714	2.1188075956225435e-05	1e-10
6.0553489167737708e-06	0.00060553489167737703	0.00016852180309018711	1.9296283460133878e-05	1e-10
7.5691861459672137e-06	0.00043447128477851806	0.00011265822195531844	5.2970189890563586e-06	1e-10
1.5138372291934427e-06	0.000461720354904	0.00011638246069764302	3.0268679937464906e-06	1e-10
1e-10	0.00042387442417416392	6.2380998933936663e-05	1e-10	1e-10
1e-10	0.00040873605188222951	8.1933252331140686e-05	1e-10	1e-10
1e-10	0.006355088688154072	0.00024207551825109749	1e-10	1e-10
